ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
16693	S15-164	-359.9701	167.8002	-359.9746	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16726	S15-163	-359.6008	167.7981	-359.6008	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16758	S15-165	-359.8012	167.7981	-359.8012	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16787	S15-208	-359.6119	167.7983	-359.6123	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16815	S15-202	-360.1586	167.7989	-360.1603	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16845	S15-201	-359.7352	167.7974	-359.7337	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16873	S15-207	-359.9250	167.7987	-359.9263	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16902	S15-279	-359.9505	167.7975	-359.9492	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16932	S15-246	-360.4857	167.7967	-360.4827	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16962	S15-282	-360.0305	167.8008	-360.0363	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16992	S15-243	-360.1292	167.7986	-360.1303	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17022	S15-108	-360.0444	167.7982	-360.0446	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17058	S15-118	-360.1525	167.7976	-360.1514	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17086	S15-117	-359.9693	167.7972	-359.9674	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17114	S15-122	-360.1594	167.7973	-360.1577	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17143	S15-072	-359.8859	167.7976	-359.8848	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17191	S15-075	-359.6078	167.7993	-359.6104	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
